landuse_id,road_id,road_sequence,streetview_id,streetview_sequence,filename
3099.0,635.0,1,3669.0,1,P3099.0_R635.0_S3669.0_R.jpg
3099.0,635.0,1,3670.0,2,P3099.0_R635.0_S3670.0_R.jpg
3099.0,635.0,1,3671.0,3,P3099.0_R635.0_S3671.0_R.jpg
3099.0,635.0,1,3672.0,4,P3099.0_R635.0_S3672.0_R.jpg
3289.0,635.0,1,3666.0,1,P3289.0_R635.0_S3666.0_R.jpg
3289.0,635.0,1,3667.0,2,P3289.0_R635.0_S3667.0_R.jpg
3289.0,635.0,1,3668.0,3,P3289.0_R635.0_S3668.0_R.jpg
3348.0,640.0,1,3704.0,1,P3348.0_R640.0_S3704.0_R.jpg
3348.0,640.0,1,3705.0,2,P3348.0_R640.0_S3705.0_R.jpg
3348.0,640.0,1,3706.0,3,P3348.0_R640.0_S3706.0_R.jpg
3348.0,640.0,1,3707.0,4,P3348.0_R640.0_S3707.0_R.jpg
3348.0,640.0,1,3708.0,5,P3348.0_R640.0_S3708.0_R.jpg
3348.0,640.0,1,3709.0,6,P3348.0_R640.0_S3709.0_R.jpg
3348.0,640.0,1,3710.0,7,P3348.0_R640.0_S3710.0_R.jpg
3348.0,640.0,1,3711.0,8,P3348.0_R640.0_S3711.0_R.jpg
3348.0,640.0,1,3712.0,9,P3348.0_R640.0_S3712.0_R.jpg
3348.0,640.0,1,3713.0,10,P3348.0_R640.0_S3713.0_R.jpg
3348.0,640.0,1,3714.0,11,P3348.0_R640.0_S3714.0_R.jpg
3348.0,640.0,1,3715.0,12,P3348.0_R640.0_S3715.0_R.jpg
3365.0,634.0,1,3665.0,1,P3365.0_R634.0_S3665.0_L.jpg
3365.0,634.0,1,3664.0,2,P3365.0_R634.0_S3664.0_L.jpg
3365.0,634.0,1,3663.0,3,P3365.0_R634.0_S3663.0_L.jpg
3365.0,634.0,1,3662.0,4,P3365.0_R634.0_S3662.0_L.jpg
3365.0,634.0,1,3661.0,5,P3365.0_R634.0_S3661.0_L.jpg
3365.0,634.0,1,3660.0,6,P3365.0_R634.0_S3660.0_L.jpg
3365.0,634.0,1,3659.0,7,P3365.0_R634.0_S3659.0_L.jpg
3365.0,634.0,1,3658.0,8,P3365.0_R634.0_S3658.0_L.jpg
3365.0,634.0,1,3657.0,9,P3365.0_R634.0_S3657.0_L.jpg
3365.0,634.0,1,3656.0,10,P3365.0_R634.0_S3656.0_L.jpg
3365.0,634.0,1,3655.0,11,P3365.0_R634.0_S3655.0_L.jpg
3368.0,634.0,1,3665.0,1,P3368.0_R634.0_S3665.0_R.jpg
3368.0,634.0,1,3664.0,2,P3368.0_R634.0_S3664.0_R.jpg
3368.0,634.0,1,3663.0,3,P3368.0_R634.0_S3663.0_R.jpg
3368.0,634.0,1,3662.0,4,P3368.0_R634.0_S3662.0_R.jpg
3368.0,634.0,1,3661.0,5,P3368.0_R634.0_S3661.0_R.jpg
3368.0,634.0,1,3660.0,6,P3368.0_R634.0_S3660.0_R.jpg
3368.0,634.0,1,3659.0,7,P3368.0_R634.0_S3659.0_R.jpg
3368.0,634.0,1,3658.0,8,P3368.0_R634.0_S3658.0_R.jpg
3368.0,634.0,1,3657.0,9,P3368.0_R634.0_S3657.0_R.jpg
3368.0,634.0,1,3656.0,10,P3368.0_R634.0_S3656.0_R.jpg
3368.0,634.0,1,3655.0,11,P3368.0_R634.0_S3655.0_R.jpg
3368.0,635.0,2,3666.0,1,P3368.0_R635.0_S3666.0_L.jpg
3368.0,635.0,2,3667.0,2,P3368.0_R635.0_S3667.0_L.jpg
3368.0,635.0,2,3668.0,3,P3368.0_R635.0_S3668.0_L.jpg
3368.0,635.0,2,3669.0,4,P3368.0_R635.0_S3669.0_L.jpg
3368.0,635.0,2,3670.0,5,P3368.0_R635.0_S3670.0_L.jpg
3368.0,635.0,2,3671.0,6,P3368.0_R635.0_S3671.0_L.jpg
3368.0,635.0,2,3672.0,7,P3368.0_R635.0_S3672.0_L.jpg
3368.0,640.0,3,3704.0,1,P3368.0_R640.0_S3704.0_L.jpg
3368.0,640.0,3,3705.0,2,P3368.0_R640.0_S3705.0_L.jpg
3368.0,640.0,3,3706.0,3,P3368.0_R640.0_S3706.0_L.jpg
3368.0,640.0,3,3707.0,4,P3368.0_R640.0_S3707.0_L.jpg
3368.0,640.0,3,3708.0,5,P3368.0_R640.0_S3708.0_L.jpg
3368.0,640.0,3,3709.0,6,P3368.0_R640.0_S3709.0_L.jpg
3368.0,640.0,3,3710.0,7,P3368.0_R640.0_S3710.0_L.jpg
3368.0,640.0,3,3711.0,8,P3368.0_R640.0_S3711.0_L.jpg
3368.0,640.0,3,3712.0,9,P3368.0_R640.0_S3712.0_L.jpg
3368.0,640.0,3,3713.0,10,P3368.0_R640.0_S3713.0_L.jpg
3368.0,640.0,3,3714.0,11,P3368.0_R640.0_S3714.0_L.jpg
3368.0,640.0,3,3715.0,12,P3368.0_R640.0_S3715.0_L.jpg
3368.0,603.0,4,3348.0,1,P3368.0_R603.0_S3348.0_R.jpg
3368.0,603.0,4,3349.0,2,P3368.0_R603.0_S3349.0_R.jpg
3368.0,603.0,4,3350.0,3,P3368.0_R603.0_S3350.0_R.jpg
3368.0,603.0,4,3351.0,4,P3368.0_R603.0_S3351.0_R.jpg
3368.0,603.0,4,3352.0,5,P3368.0_R603.0_S3352.0_R.jpg
3368.0,603.0,4,3353.0,6,P3368.0_R603.0_S3353.0_R.jpg
3368.0,603.0,4,3354.0,7,P3368.0_R603.0_S3354.0_R.jpg
3368.0,603.0,4,3355.0,8,P3368.0_R603.0_S3355.0_R.jpg
3368.0,603.0,4,3356.0,9,P3368.0_R603.0_S3356.0_R.jpg
3368.0,603.0,4,3357.0,10,P3368.0_R603.0_S3357.0_R.jpg
3368.0,603.0,4,3358.0,11,P3368.0_R603.0_S3358.0_R.jpg
3368.0,603.0,4,3359.0,12,P3368.0_R603.0_S3359.0_R.jpg
3368.0,603.0,4,3360.0,13,P3368.0_R603.0_S3360.0_R.jpg
3368.0,603.0,4,3361.0,14,P3368.0_R603.0_S3361.0_R.jpg
3368.0,603.0,4,3362.0,15,P3368.0_R603.0_S3362.0_R.jpg
3368.0,619.0,5,3486.0,1,P3368.0_R619.0_S3486.0_R.jpg
3368.0,619.0,5,3487.0,2,P3368.0_R619.0_S3487.0_R.jpg
3368.0,619.0,5,3488.0,3,P3368.0_R619.0_S3488.0_R.jpg
3368.0,619.0,5,3489.0,4,P3368.0_R619.0_S3489.0_R.jpg
3368.0,619.0,5,3490.0,5,P3368.0_R619.0_S3490.0_R.jpg
3368.0,619.0,5,3491.0,6,P3368.0_R619.0_S3491.0_R.jpg
