streetview_id,filename,landuse_id,side,heading,capture_time,x,y,id
09000300121905281047461479H,1.0_L.jpg,3904.0,L,191.29,201905,121.4939382,31.27539693,1.0
09000300121905281047461479H,1.0_R.jpg,3887.0,R,191.29,201905,121.4939382,31.27539693,1.0
09000300121905271750124729H,2.0_L.jpg,3767.0,L,10.71,201905,121.4941003,31.27606852,2.0
09000300121905271750124729H,2.0_R.jpg,3904.0,R,10.71,201905,121.4941003,31.27606852,2.0
0900030012200217170827288HH,3.0_L.jpg,3511.0,L,24.84,202002,121.5025315,31.27928871,3.0
0900030012200217170827288HH,3.0_R.jpg,3654.0,R,24.84,202002,121.5025315,31.27928871,3.0
09000300122210301507465045O,4.0_L.jpg,3654.0,L,129.65,202210,121.5034085,31.27879818,4.0
09000300122210301507465045O,4.0_R.jpg,3511.0,R,129.65,202210,121.5034085,31.27879818,4.0
09000300122210301507549435O,5.0_L.jpg,3654.0,L,126.84,202210,121.5042215,31.27822777,5.0
09000300122210301507549435O,5.0_R.jpg,3696.0,R,126.84,202210,121.5042215,31.27822777,5.0
0900030012200217165043386HH,6.0_L.jpg,3696.0,L,127.17,202002,121.5050278,31.27765024,6.0
0900030012200217165043386HH,6.0_R.jpg,3605.0,R,127.17,202002,121.5050278,31.27765024,6.0
0900030012200217170644143HH,7.0_L.jpg,3730.0,L,164.87,202002,121.5057195,31.27715474,7.0
0900030012200217170644143HH,7.0_R.jpg,3696.0,R,164.87,202002,121.5057195,31.27715474,7.0
09000300122211020957582825O,8.0_L.jpg,3183.0,L,73.53,202211,121.5111155,31.28652348,8.0
09000300122211020957582825O,8.0_R.jpg,3137.0,R,73.53,202211,121.5111155,31.28652348,8.0
09000300122210311110599585O,9.0_L.jpg,3137.0,L,342.57,202210,121.5114107,31.28565818,9.0
09000300122210311110599585O,9.0_R.jpg,3183.0,R,342.57,202210,121.5114107,31.28565818,9.0
09000300122210311148204755O,10.0_L.jpg,3260.0,L,160.92,202210,121.511706,31.28479289,10.0
09000300122210311148204755O,10.0_R.jpg,3137.0,R,160.92,202210,121.511706,31.28479289,10.0
